Product ID,Product Name,Product Option Type,Price,Description
T001,Floral printed tablecloth,Size,78.000 - 167.000,"Beautiful tablecloth, elegant colors and patterns. There are many models with simple tones that are suitable and easy to decorate with vintage. You can decorate your living room table, dining table, desk or study table as you like

* Material: Linen fabric

- Blend of cotton and linen fibers, 100% natural, safe and environmentally friendly. Fabric density 48*36, yarn thickness 10*10, fabric weight 300g/m2, thick fabric, does not fade.

- Specialized in sewing tablecloths, pillows, sofa covers, curtains, etc."
T002,Soft decorative tablecloth,Color,71.000,"Product information Romantic vintage style cream white lace tablecloth ❤️
✔ Package includes: 1 x Tablecloth
✔ Material High-quality lace material is odorless, dust-proof, sharp and soft texture
✔ Use: to decorate dining tables, desks, extremely luxurious, modern, and eye-catching photography accessories.

Size:
✔ S: 70 x 70 cm
✔ M: 95 x 145 cm
✔ L: 145 x 145 cm

Color: Pink, Blue, Yellow"
T003,Vingtage style linen curtains,Size,79.000-132.000,"✅ SPECIFICATIONS:
- Material: thick powdered linen fabric.

✅ USES:
- Cover the door.
- Space division.
- Light blocking."
T004,Carpet weaving of the sky,Default,99.000,"- Vibrant colors and wavy borders are a fun addition to your room.
- Designed for safety and a soft feel.
- 100% wool is highly durable and soft underfoot."
T005,"High-quality, soft, plush bear-shaped carpet",Default,174.000,"Product information:
- Material: fine, absorbent fur
- Size: 60x80cm
- WHITE bear image. Only WHITE color
- Has anti-slip rubber lining
- Roll up when not in use"
F001,Essential Oil Aromatherapy Diffuser with Relaxation Stick,Fragrant,33.988,"Product information:
- Ingredients: Fragrance essential oil
- Suitable for medium room area from 5-15m2, working corner
- Uses: Relax, scent the room, create a faint scent, help sleep, give as a gift
- Usage time: 2-4 months (depending on the number of sticks)
- Made in Viet Nam
- Scent: many scents, to choose a specific scent, please click on the category."
F002,Rehome fragrance super set - White Aloe,Default,198.000,"♦ Scent: Cactus flower, green apple, parsley, bamboo, jasmine, Muguet, rose, agave and light musk.
♦ Candles are made from soybean wax, which is safe for health
♦ Burning time:
+ Canned candles have a burn time of 45 hours.
+ Candles in a filled round cylinder box have a burning time of 80 hours.
+ Candles in tin cans have a burning time of 20 hours.
♦ Origin: Vietnam"
F003,Decorative scented candles made from soybeans are safe and healthy,Default,249.000,"DETAILED INFORMATION OF HEBER NATURAL LIFE PREMIUM ROOM FRAGRANCE CANDLES
► Scent: Citrus scent with a soft, bright and cheerful vibe added, accompanied by a clean cotton scent, leaving a pleasantly refreshing mood.
► Completely natural ingredients from:
+ Plant-based soy wax extracted from soybeans and palm wax: helps candles have a smooth surface, burn evenly, slowly, cleanly, and emit good fragrance compared to other waxes . Especially does not contain harmful substances, does not contain phthalates and does not contain petroleum.
+ High-quality essential oils with essential oil content up to 12% (usually 8-10%) will bring a stronger and clearer scent feeling.
+ Candle wick: imported from Germany, 100% natural cotton fiber, does not contain lead, does not harm the user. In addition, when burned, it will not emit black smoke or soot."
F004,Set of 6 double twisted candles,Color,124.000,"♦ Product: 1 blister includes 6 super beautiful white birthday candles
♦ Material: safe high quality candle material
♦ Size: 16cm
♦ Color: white, beige, green, red
♦ Packaging: 1 box of 6 candles
♦ Used for birthday parties, parties, and home decoration"
F005,Essential Oil Aromatherapy Diffuser with Relaxation Stick,Color,99.000,"The essential oil diffuser set with a stick is quite easy and simple to use, when you just need to: Open the stopper - Plug it in - Wait for the essential oil to release its scent.
Thanks to natural wind movement, the pleasant aroma from the essential oil diffuser will be spread evenly throughout your home. The scent is not strong, it is easy to use and does not require as much effort as when using a diffuser, but the advantage of a long usage time is the advantage of this diffuser.

Product information:
- Ingredients: Fragrance essential oil
- Suitable for medium room area from 5-15m2, working corner
- Uses: Relax, scent the room, create a faint scent, help sleep, give as a gift
- Usage time: 2-4 months (depending on the number of sticks)
- Made in Viet Nam
- Scent: Brwown (Brown), Cony (Pink), Sally (Yellow), Choco (Light brown)"
L001,Tulip table lamp for home decoration,Default,378.000,"✔️Free light bulb, can be removed and replaced as desired
✔️2-pin jack pin
✔️Cute, Korean style
✔️Easy to mix and decorate your bedroom or study room"
L002,Flower wall lamp,Default,378.000,"Products with simple and sophisticated designs are chosen by many customers to decorate the living space in their homes. Decorative wall lamps are one of the products chosen by many customers to decorate living rooms, bedrooms, and stairs.

The lamp body is made from beautiful stainless steel powder-coated metal

The lamp base includes extremely sturdy wall screws

The lampshade is made from special glass, giving beautiful light display

The lamp uses high-quality, long-lasting LED bulbs"
L003,Triteti wall sconce,Default,410.000,"Products with simple and sophisticated designs are chosen by many customers to decorate the living space in their homes. Decorative wall lamps are one of the products chosen by many customers to decorate living rooms, bedrooms, and stairs.

The lamp body is made from beautiful stainless steel powder-coated metal

The lamp base includes extremely sturdy wall screws

The lamp uses high-quality, long-lasting LED bulbs

The lamp is packaged in a foam box to protect the product's absolute safety

Suitable for decorating cafes, bedrooms and many other spaces"
L004,Wooden table lamp,Default,309.000,"Desk lamp, wooden base for study, simple and modern design with bold vintage style

✔️ Lamp body is made of anti-rust powder-coated metal

✔️ The lamp base is made of safe and environmentally friendly wood

✔️ Diverse colors: White, pink, blue, gray, yellow

✔️ The lamp uses a very popular E27 screw cap and is easy to replace

✔️ Decorate your living space more beautifully



Product Information
- Material: Powder coated steel reflector, lamp base + lamp body made from natural wood with PU gloss coating

- Size: varies depending on shape, details in attached photo (Highest 43cm)

- Voltage: 220V~50Hz

- Tail light: Use the common E27 tail light, which is very popular on the market"
L005,Tall Standing Tree Lamp Decorating Living Room Bedroom Nordic Style,Default,894.000,"✔️Serves diverse purposes such as living room decoration, bedside lamp, reading lamp...

✔️Metal material with electrostatic coating, durable, beautiful and stainless

✔️The included LED light saves energy and is highly durable;

✔️Simple, modern design, the decor makes your home more stylish

✔️Suitable as a birthday gift, housewarming gift..."
L006,Tulip decor table lamp,Color,198.000,"Tulip Night Light for Room Decoration, LED Desk Lamp, Glowing Flower Bouquet as a Romantic Gift
High-quality materials: The flower pot is made of ceramic material, the flower material is made of high-quality PU material, sturdy and durable. Tulip night lamp feels real to the touch and does not fade easily. The color does not change over time."
L007,Noguchi ceiling lamp Japanese minimalist style,Style,349000 - 419.00,"NOGUCHI JAPANESE STYLE CEILING LIGHT
🌸STANDARD LAMP - THE RIBS ON THE LAMP ARE THICK, EVEN SO THAT IT DOESN'T TEAR EASILY AND THE LAMP IS MORE BEAUTIFUL
🌸PAPER MATERIAL - mulberry bark paper
One product will include
💮 Detailed instructions on how to install the lights
💮 1 Noguchi lantern
💮 1 light bulb
💮 1 ceiling base + 1 pre-wired wire with bulb holder + 1 set of screws for installation"
L008,Mushroom-shaped table lamp with convenient USB port,Size,149000 - 200.000,"PRODUCT DESCRIPTION
Mushroom-shaped table night lamp, adjustable brightness, integrated multi-purpose power outlet with convenient USB port

✅ Product information Mushroom-shaped table night lamp, adjustable brightness, integrated multi-purpose power outlet with convenient USB port - Light color: cold, warm, natural - Load capacity: 2500W

- USB output current: 2.4A

- Socket type: 2 pin

- Number of sockets: 3 - Number of USB charging pins: 2

- Maximum current: 10A - Voltage: 250V~

- Cord length: 1.8m/ 2.8m"
L009,Rechargeable Toaster Night Light,Color,135.000,"Product name: Rechargeable Toaster Night Light, Timer with Multiple Light Modes, Suitable as Decorative LED Light for Bedroom Decor
🍀 The lamp has a toaster-shaped design with cute, gentle colors, suitable for Korean-style bedroom decoration.
🍀 Controlled by toaster style lever
🍀 Rechargeable 800 mAh battery capacity for 6 hours of use in strong light, about 100 hours in low light
🍀 Can be taken everywhere without a power cord: cafes, camping, travel.
🍀 3 light colors, brightness can be adjusted from strong to weak. The timer function automatically turns off after 15 minutes, saving electricity when you fall asleep.
🍀 Lamps can also meet many needs such as: preventing eye strain when using the phone or reading, creating a romantic, cozy space or serving nighttime needs such as traveling, entering and exiting, …
🍀 The light of most night lights is designed to be a soft yellow color. In addition to helping your sleep become better and deeper, the yellow light of the lamp also helps make your bedroom space more cozy.
🍀 Extremely modern and unique table lamp creates a unique look for your room

Details:
⚡ Product name: toaster-shaped night light
⚡ Product material: ABS, HIPC
⚡ Lighting color temperature: 3000K warm light
⚡ Battery capacity: 800mAh / 3.7V
⚡ Rated power: 4W (0.6W * 6LED)
⚡ Product weight: 133g
⚡ Product dimensions: 134 x 54 x 98mm
⚡ Color box size: 137 x 56 x 104mm
⚡ Lamp life: 10,000 hours ⚡ Color: Cream, Pink, Blue USER INSTRUCTIONS FOR TABLE LAMP
⚡ Charging indicator: flashing (low battery), dim (charging), always on (full)
⚡ Charging time: 2.5 hours
⚡ Usage time: 6 hours high light: 120 hours low light
⚡ Interface type: USB
⚡ Activate the product with the power source plugged in for the first time
⚡ Quickly press the lever - change the light
⚡ Press and hold the lever - adjust brightness
⚡ Double click the 15-minute timer lever to turn off the light
⚡Origin: China"
L010,Bubble ceiling lamp,Default,417.000,"🌸STANDARD LAMP - THE RIBS ON THE LAMP ARE THICK, EVEN SO THAT IT DOESN'T TEAR EASILY AND THE LAMP IS MORE BEAUTIFUL
🌸PALM LEAF MATERIAL



💮 3-color bulb: 9W energy-saving bulb with 3 light colors: white, light yellow and dark yellow (controlled by switch)

💮 Smart ball: Easy to install and control via smartphone. The bulb can change color according to preference, turn on and off and set a timer from your mobile phone without having to go to the light switch position. One product will include



💮 Detailed instructions on how to install the lights

💮 1 lantern

💮 1 3-color light bulb or smart bulb

💮 1 ceiling base + 1 pre-wired wire with bulb holder + 1 set of screws for installation (Total wire + holder is about 95-115cm long.)"
N001,Vintage rattan and bamboo picnic basket,Default,211.000,"Picnic basket made from bamboo sized
Length x Width x Height: 30x20x16cm
And many different basket models

- Suitable for picnics and any living space.
- Used to store food, multi-purpose items, decorate dining tables, study tables,... can be used to support photography and product photography.
- Easy to clean: Make books by spraying water directly (and scrubbing) then dry in the sun (1-2 days) to be able to use normally."
N002,Shelves for storage and arrangement of plants to decorate the home,Default,289.000,"The stand is made of handwoven rattan, a living material that makes each flower unique.
Place shelves on the top shelf and accessories or multiple plants on the bottom.
A great way to bring nature into your home.

Product information:
- Handmade by skilled craftsmen so each product is unique.
- Thanks to the flower hanger, you can decorate every corner of your house with flowers.
- The lower shelf is ideal for smaller containers or storing books and magazines.
- Light tank; it is very easy to lift and move.
- Bamboo and rattan is a natural material that becomes more beautiful and special over time."
N003,Clothes basket with wooden frame and laundry basket,Default,278.900,"PRODUCT INFORMATION
Clothes basket with wooden frame and laundry basket
- Material: Linen, wooden frame
- Color: White, gray, clear
- Dimensions: (length x width x height) 50 x 34 x 56.5 cm
- Can be folded when not in use
- Assembly instructions can be found in the product images section

CLOTHES BASKET – HELP KEEP THE HOUSE Tidy
- Using clothes is not only a basic human need as clothes are extremely attractive fashion accessories. However, owning a lot of clothes sometimes makes it impossible for your house to be neat and tidy. Besides other types of wardrobes, WOODEN FRAME CLOTHES BASKET is also a clothing choice that can help you store clothes quickly."
N004,3-tier pine wood shelf with wheels for home arrangement,Default,411.000,"PRODUCT INFORMATION
- Material: imported pine wood
- Color: natural wood color
- Multi-purpose product can be used for decoration, can be for product display stalls
- Wooden frame and tray shelves are very sturdy and easy to install
- Eye-catching natural wood color, suitable for multi-purpose display
- Dimensions: Depth: 13"" - Height: 29 7/8"" - Width: 16 1/2"""
N005,Set of 3 multi-purpose wooden boxes for storing furniture,Default,267.800,"PRODUCT INFORMATION
- Color: Natural wood grain color combined with fire torch
- The product is made from imported pine wood with high durability and has been treated to prevent termites
- Can be used as tables and chairs for home decoration, cafes, homestays
- Store personal belongings, decorate the garden, easily decorate many positions"
N006,Hand-woven straw storage basket,Default,79.000,"Raw material: organic straw
Color: beige, light brown

Available in two sizes:
Small: 31 long * 25 wide * 37 high (cm)
Large: 40 length * 33 width * 46 height (cm)

These square baskets are completely handmade from tuberculum and corn husks, and also have a sturdy wooden frame inside, very suitable for storing household items, or storing clothes.

Each basket is lined with a layer of domestically woven fabric, which is both durable and has good air permeability. This layer of fabric is connected to the basket via a hook-and-loop tape system, allowing it to be easily removed for convenience. cleaning. The bottom of the basket is equipped with a sturdy rubber plate, which has anti-slip and wear-resistant features.

With a simple yet sophisticated design, this basket is perfectly suitable for any living space, and is also very flexible, can be used to store clothes, toys, food, tools and many other purposes. ."
N007,Newspaper/book/magazine storage desk,Default,999.000,"Materials: teak wood

Dimensions width x height x depth = 45 x 45 x 45 cm

This magazine storage table has a prototype designed in the 1960s by Arthur Umanoff (USA)."
N008,Foldable plastic box,Color,115.000,"The folding container has a flexible, collapsible design and has a striking color finish, helping to create a highlight for your space. With a retro look, with geometric cutouts, the box is perfect for storing art materials, desk essentials, snacks, fruits and more.

Characteristic
- Organize everything with containers
- Boxes can be stacked on top of each other
- Easily folded when not in use

Product care
- Plastic
- Clean with a clean cloth
- Import

Size

Size S
- Dimensions: 21.3 cm long x 14.4 cm wide x 8.4 cm high
- Weight limit: 2 kg
- Weight: 120 grams

Size M
- Dimensions: 29 cm long x 21.3 cm wide x 12.3 cm high
- Weight limit: 3 kg
- Weight: 240 grams"
N009,Metal vinyl album display stand,Color,225.000,"- Dimensions: 16.51 cm long x 9.53 cm wide x 9.53 cm high
- Weight: 320 grams

Keep your vinyl organized with vinyl storage racks made from iron. Mesh design has eight compartments with accent feet.

Characteristic
- Vinyl record storage rack
- 8 Compartments to organize your musical treasure
- Exclusively from rehome

Product care
- 100% Iron
- Clean with a clean cloth
- Import"
N010,Foldable plastic basket,Color,145.000,"Another version of our foldable plastic box, now with extra handles for easy carrying anywhere. Made with geometric cutouts throughout, dividers and a sturdy handle.
- A favorite product from rehome
- Organize everything with this stackable storage bin, which comes with a sturdy handle
- Easily folded when not in use

Product care
- Plastic
- Clean with a clean cloth
- Import

Size
- Dimensions: 30 cm long x 20 cm wide x 15.5 cm high
- Weight: 345 grams"
W001,Macrame decorative tassel curtain wall hanging,Default,168.000,"The wall-mounted Macrame tassel curtain is a handmade product, made from soft, durable polyester fiber and completely handmade by skilled workers. Beautiful product from the needle thread to the beautiful smooth straight wood.

Macrame decor wall-mounted tassel curtains are products used to decorate living room walls, bedrooms, decorate baby rooms, decorate cafes, study corners, decorate student dormitories... color coordination is extremely important to create pleasant feeling and harmony for space.

Characteristics of wall-mounted Macrame tassel curtains
+ Vintage style design
+ Woven with high quality polyester yarn
+ Create perfect beauty, decorate your home
+ Brings a new beauty, a new vitality to the living space
+ 6 month warranty"
W002,Exquisite hand-woven Macrame decorative curtains,Default,222.000,"Exquisite handwoven Macrame decorative blinds W02 are meticulously handcrafted by skilled craftsmen, woven from soft, durable polyester fibers, with gentle, elegant colors and beautiful Bohemian aboriginal designs. Eyes bring more vitality to your home decoration space as well as fresh youthful beauty.

Exquisite hand-woven Macrame decorative blinds W02 can be used to decorate the living room, bedroom, office, hallway, stairs and even the kitchen. In addition, decorative wall rugs can also be used as gifts for housewarming, holidays, New Year, birthdays for relatives, friends or colleagues. Besides, the product can be used to decorate public areas such as cafes, restaurants, hotels,...

Features of exquisite hand-woven Macrame decorative blinds W02
+ Creative and sophisticated BOHO design
+ Woven with durable polyester yarn
+ Light, bright beige color
+ Environmentally friendly materials
+ 6 month warranty"
W003,Vintage style bamboo wall mirror for home decoration,Default,78.000,"✔️ Vintage mirrors are very suitable for those who decorate their home in a classic style.
✔️Size: 40x30cm
✔️ Dear friends:
- Image color may vary due to shooting angle, lighting or equipment used
- Product size may have 1-2cm error due to manual measurement. Don't worry too much <3"
W004,Vintage style handmade bamboo wall shelf,Default,96.300,"PRODUCT DETAILS - Wall-mounted decorative rattan shelf
- Made in Viet Nam
- Material: Bamboo and Rattan
- Product size: (30cm x 15cm)
- Color: As pictured

PRODUCT INTRODUCTION
- A product from natural rattan fibers, handcrafted from a long-standing rattan craft village in Vietnam
- The wall shelf is softly smoothed along curves, designed to look like extremely beautiful and unique flower petals.
- 100% natural ingredients, no toxic chemicals are used to prevent mold, so it is very safe for your family's health.

Product uses
- Helps decorate the space to become more friendly and warmer
- Used to decorate the house, make shelves for objects, potted plants, etc.
- Make background or photography accessories"
W005,3D embossed mica wall paintings,Size,59.000 - 129.000,"☑️Mica paintings, 3D mica wall paintings, beautiful wall decor, beautiful walls

☑️ Painting made of high quality mica material with excellent beautiful colors

☑️Completely different from traditional decal paintings, durable over 20 years"
